document,compile_component,locate_component,traverse_component,NOD,DEF,OCC,LOC,gotoDefinition,rename,completion
d:\work24\souffle-lsp-plugin\example\2sat\2sat.dl,0,0,0,1098,20,84,80,0,0,0
d:\work24\souffle-lsp-plugin\example\access-policy\access-policy.dl,0,0,0,2826,26,194,146,0,0,0
d:\work24\souffle-lsp-plugin\example\ackermann\ackermann.dl,0,0,0,1794,8,130,158,0,0,0
d:\work24\souffle-lsp-plugin\example\amicable\amicable.dl,0,0,0,758,10,56,60,0,0,0
d:\work24\souffle-lsp-plugin\example\andersen\andersen.dl,0,0,0,798,12,68,94,0,0,0
d:\work24\souffle-lsp-plugin\example\array\array.dl,0,0,0,1512,16,116,98,0,0,0
d:\work24\souffle-lsp-plugin\example\bigrams\bigrams.dl,0,0,0,256,6,24,30,0,0,0
d:\work24\souffle-lsp-plugin\example\catalan\catalan.dl,0,0,0,832,8,54,54,0,0,0
d:\work24\souffle-lsp-plugin\example\cba_expr_value\cba_expr_value.dl,0,0,0,2724,26,190,242,0,0,0
d:\work24\souffle-lsp-plugin\example\cellular_automata\array.dl,0,0,0,1512,16,116,98,0,0,0
d:\work24\souffle-lsp-plugin\example\cellular_automata\cellular_automata.dl,0,0,0,1480,12,106,88,0,0,0
d:\work24\souffle-lsp-plugin\example\centroids\centroids.dl,0,0,0,1420,20,102,78,0,0,0
d:\work24\souffle-lsp-plugin\example\circuit_eval\circuit_eval.dl,0,0,0,1348,16,106,98,0,0,0
d:\work24\souffle-lsp-plugin\example\circuit_records\circuit_records.dl,0,0,0,3712,44,252,272,0,0,0
d:\work24\souffle-lsp-plugin\example\circuit_sat\circuit_sat.dl,0,0,0,1866,22,138,112,0,0,0
d:\work24\souffle-lsp-plugin\example\clique\clique.dl,0,0,0,882,8,66,66,0,0,0
d:\work24\souffle-lsp-plugin\example\cliquer\cliquer.dl,0,0,0,828,10,66,62,0,0,0
d:\work24\souffle-lsp-plugin\example\comp-parametrized\comp-parametrized.dl,0,0,0,922,14,58,72,0,0,0
d:\work24\souffle-lsp-plugin\example\comp-parametrized-inherit\comp-parametrized-inherit.dl,0,0,0,702,16,54,68,0,0,0
d:\work24\souffle-lsp-plugin\example\comp-parametrized-multilvl\comp-parametrized-multilvl.dl,0,0,0,756,18,40,84,0,0,0
d:\work24\souffle-lsp-plugin\example\convex_hull\convex_hull.dl,0,0,0,5802,32,282,262,0,0,0
d:\work24\souffle-lsp-plugin\example\counter\counter.dl,0,0,0,912,12,48,56,0,0,0
d:\work24\souffle-lsp-plugin\example\degree\degree.dl,0,0,0,524,8,40,42,0,0,0
d:\work24\souffle-lsp-plugin\example\dfa\dfa.dl,0,0,0,4614,42,352,664,0,0,0
d:\work24\souffle-lsp-plugin\example\dfa_live_vars\dfa_live_vars.dl,0,0,0,1068,14,84,128,0,0,0
d:\work24\souffle-lsp-plugin\example\dfa_min\dfa_min.dl,0,0,0,1236,20,102,76,0,0,0
d:\work24\souffle-lsp-plugin\example\dfa_parse\dfa_parse.dl,0,0,0,1000,20,82,82,0,0,0
d:\work24\souffle-lsp-plugin\example\dfa_summary_function\dfa_summary_function.dl,0,0,0,4990,46,380,584,0,0,0
d:\work24\souffle-lsp-plugin\example\disconnected\disconnected.dl,0,0,0,876,8,60,48,0,0,0
d:\work24\souffle-lsp-plugin\example\dnf\dnf.dl,0,0,0,1798,26,156,130,0,0,0
d:\work24\souffle-lsp-plugin\example\dominance\dominance.dl,0,0,0,2090,22,178,266,0,0,0
d:\work24\souffle-lsp-plugin\example\double_tree\double_tree.dl,0,0,0,25898,610,2442,1352,0,0,0
d:\work24\souffle-lsp-plugin\example\earley\earley.dl,0,0,0,1824,28,130,110,0,0,0
d:\work24\souffle-lsp-plugin\example\edit_distance\edit_distance.dl,0,0,0,2022,26,142,96,0,0,0
d:\work24\souffle-lsp-plugin\example\equal\equal.dl,0,0,0,1102,8,78,68,0,0,0
d:\work24\souffle-lsp-plugin\example\euclid\euclid.dl,0,0,0,10894,58,534,698,0,0,0
d:\work24\souffle-lsp-plugin\example\factorial\factorial.dl,0,0,0,286,4,22,42,0,0,0
d:\work24\souffle-lsp-plugin\example\factoring\factoring.dl,0,0,0,752,10,56,50,0,0,0
d:\work24\souffle-lsp-plugin\example\family\family.dl,0,0,0,1640,18,126,82,0,0,0
d:\work24\souffle-lsp-plugin\example\fib\fib.dl,0,0,0,1464,8,98,88,0,0,0
d:\work24\souffle-lsp-plugin\example\fib1\fib1.dl,0,0,0,278,2,18,28,0,0,0
d:\work24\souffle-lsp-plugin\example\flights\flights.dl,0,0,0,1130,10,78,54,0,0,0
d:\work24\souffle-lsp-plugin\example\flights2\flights2.dl,0,0,0,2294,14,108,110,0,0,0
d:\work24\souffle-lsp-plugin\example\floydwarshall\floydwarshall.dl,0,0,0,94,0,16,24,0,0,0
d:\work24\souffle-lsp-plugin\example\fractional_knapsack\fractional_knapsack.dl,0,0,0,2694,24,156,134,0,0,0
d:\work24\souffle-lsp-plugin\example\func\func.dl,0,0,0,1170,12,84,58,0,0,0
d:\work24\souffle-lsp-plugin\example\game2\game2.dl,0,0,0,924,12,74,68,0,0,0
d:\work24\souffle-lsp-plugin\example\grad\grad.dl,0,0,0,956,12,80,80,0,0,0
d:\work24\souffle-lsp-plugin\example\graph\graph.dl,0,0,0,924,6,64,48,0,0,0
d:\work24\souffle-lsp-plugin\example\grid\grid.dl,0,0,0,4618,28,290,168,0,0,0
d:\work24\souffle-lsp-plugin\example\highest_degree\highest_degree.dl,0,0,0,832,12,60,52,0,0,0
d:\work24\souffle-lsp-plugin\example\hmmer\hmmer.dl,0,0,0,3292,36,260,152,0,0,0
d:\work24\souffle-lsp-plugin\example\independent_body3\independent_body3.dl,0,0,0,682,10,52,54,0,0,0
d:\work24\souffle-lsp-plugin\example\inline_nats\inline_nats.dl,0,0,0,416,6,32,44,0,0,0
d:\work24\souffle-lsp-plugin\example\input_output\input_output.dl,0,0,0,5410,68,456,388,0,0,0
d:\work24\souffle-lsp-plugin\example\java-pointsto\java-pointsto.dl,0,0,0,5592,88,474,350,0,0,0
d:\work24\souffle-lsp-plugin\example\josephus\josephus.dl,0,0,0,1000,4,50,88,0,0,0
d:\work24\souffle-lsp-plugin\example\k-permutations\k-permutations.dl,0,0,0,310,4,22,30,0,0,0
d:\work24\souffle-lsp-plugin\example\linksum\linksum.dl,0,0,0,1780,8,118,102,0,0,0
d:\work24\souffle-lsp-plugin\example\longest_path\longest_path.dl,0,0,0,566,8,42,44,0,0,0
d:\work24\souffle-lsp-plugin\example\lubm\lubm.dl,0,0,0,6384,82,548,314,0,0,0
d:\work24\souffle-lsp-plugin\example\lucas\lucas.dl,0,0,0,414,6,34,46,0,0,0
d:\work24\souffle-lsp-plugin\example\magic_access-policy\magic_access-policy.dl,0,0,0,2836,26,194,154,0,0,0
d:\work24\souffle-lsp-plugin\example\magic_pointsto\edb.dl,0,0,0,36646,0,2190,2190,0,0,0
d:\work24\souffle-lsp-plugin\example\magic_pointsto\magic_pointsto.dl,0,0,0,1052,20,94,88,0,0,0
d:\work24\souffle-lsp-plugin\example\magic_prime2\magic_prime2.dl,0,0,0,1302,14,94,110,0,0,0
