document,compile_component,locate_component,traverse_component,NOD,DEF,OCC,LOC,gotoDefinition,rename,completion
d:\work24\souffle-lsp-plugin\example\2sat\2sat.dl,0.0,0.0,0.0,549.0,10.0,42.0,20.0,0.0,0.0,0.0
d:\work24\souffle-lsp-plugin\example\access-policy\access-policy.dl,0.0,0.0,0.0,1413.0,13.0,97.0,54.0,0.0,0.0,0.0
d:\work24\souffle-lsp-plugin\example\ackermann\ackermann.dl,0.0,0.0,0.0,897.0,4.0,65.0,59.0,0.0,0.0,0.0
d:\work24\souffle-lsp-plugin\example\amicable\amicable.dl,0.0,0.0,0.0,379.0,5.0,28.0,12.0,0.0,0.0,0.0
d:\work24\souffle-lsp-plugin\example\andersen\andersen.dl,0.0,0.0,0.0,399.0,6.0,34.0,24.0,0.0,0.0,0.0
d:\work24\souffle-lsp-plugin\example\array\array.dl,0.0,0.0,0.0,756.0,8.0,58.0,25.0,0.0,0.0,0.0
d:\work24\souffle-lsp-plugin\example\bigrams\bigrams.dl,0.0,0.0,0.0,128.0,3.0,12.0,6.0,0.0,0.0,0.0
d:\work24\souffle-lsp-plugin\example\catalan\catalan.dl,0.0,0.0,0.0,416.0,4.0,27.0,12.0,0.0,0.0,0.0
d:\work24\souffle-lsp-plugin\example\cba_expr_value\cba_expr_value.dl,0.0,0.0,0.0,1362.0,13.0,95.0,48.0,0.0,0.0,0.0
d:\work24\souffle-lsp-plugin\example\cellular_automata\array.dl,0.0,0.0,0.0,756.0,8.0,58.0,25.0,0.0,0.0,0.0
d:\work24\souffle-lsp-plugin\example\cellular_automata\cellular_automata.dl,0.0,0.0,0.0,740.0,6.0,53.0,19.0,0.0,0.0,0.0
d:\work24\souffle-lsp-plugin\example\centroids\centroids.dl,0.0,0.0,0.0,710.0,10.0,51.0,21.0,0.0,0.0,0.0
d:\work24\souffle-lsp-plugin\example\circuit_eval\circuit_eval.dl,0.0,0.0,0.0,674.0,8.0,53.0,28.0,0.0,0.0,0.0
d:\work24\souffle-lsp-plugin\example\circuit_records\circuit_records.dl,0.0,0.0,0.0,1856.0,22.0,126.0,74.0,0.0,0.0,0.0
d:\work24\souffle-lsp-plugin\example\circuit_sat\circuit_sat.dl,0.0,0.0,0.0,933.0,11.0,69.0,42.0,0.0,0.0,0.0
d:\work24\souffle-lsp-plugin\example\clique\clique.dl,0.0,0.0,0.0,441.0,4.0,33.0,22.0,0.0,0.0,0.0
d:\work24\souffle-lsp-plugin\example\cliquer\cliquer.dl,0.0,0.0,0.0,414.0,5.0,33.0,18.0,0.0,0.0,0.0
d:\work24\souffle-lsp-plugin\example\comp-parametrized\comp-parametrized.dl,0.0,0.0,0.0,461.0,7.0,29.0,24.0,0.0,0.0,0.0
