file,metric,target,LOC,NOD,OCC,DEF
LOC_combined_400.dl,LOC,400,372.0,8851.0,564.0,84.0
LOC_combined_800.dl,LOC,800,756.0,23615.0,1446.0,173.0
LOC_combined_1200.dl,LOC,1200,1161.0,33224.0,2237.0,306.0
LOC_combined_1600.dl,LOC,1600,1577.0,46540.0,2930.0,388.0
LOC_combined_2000.dl,LOC,2000,2011.0,51130.0,3150.0,423.0
LOC_combined_2400.dl,LOC,2400,2360.0,65470.0,4233.0,567.0
LOC_combined_2800.dl,LOC,2800,2761.0,61656.0,4428.0,735.0
LOC_combined_3200.dl,LOC,3200,3183.0,80845.0,5659.0,841.0
LOC_combined_3600.dl,LOC,3600,3561.0,93945.0,6321.0,875.0
LOC_combined_4000.dl,LOC,4000,3971.0,105428.0,7021.0,974.0
LOC_combined_4400.dl,LOC,4400,4381.0,110362.0,7966.0,1317.0
LOC_combined_4800.dl,LOC,4800,4761.0,127334.0,8733.0,1213.0
LOC_combined_5200.dl,LOC,5200,5164.0,132265.0,10014.0,1710.0
LOC_combined_5600.dl,LOC,5600,5569.0,151858.0,10075.0,1395.0
LOC_combined_6000.dl,LOC,6000,6016.0,149128.0,10668.0,1706.0
LOC_combined_6400.dl,LOC,6400,6356.0,179375.0,12678.0,2037.0
LOC_combined_6800.dl,LOC,6800,6780.0,175646.0,12317.0,1924.0
LOC_combined_7200.dl,LOC,7200,7174.0,197812.0,13139.0,1733.0
LOC_combined_7600.dl,LOC,7600,7582.0,201438.0,13139.0,1839.0
LOC_combined_8000.dl,LOC,8000,7993.0,205990.0,14715.0,2521.0
LOC_combined_8400.dl,LOC,8400,8373.0,227560.0,15801.0,2545.0
LOC_combined_8800.dl,LOC,8800,8756.0,244617.0,16158.0,2265.0
LOC_combined_9200.dl,LOC,9200,9155.0,235291.0,17243.0,2989.0
LOC_combined_9600.dl,LOC,9600,9574.0,253527.0,17949.0,2635.0
LOC_combined_10000.dl,LOC,10000,9951.0,269310.0,18423.0,2702.0
NOD_combined_10000.dl,NOD,10000,319.0,9986.0,603.0,76.0
NOD_combined_20000.dl,NOD,20000,788.0,18975.0,1189.0,166.0
NOD_combined_30000.dl,NOD,30000,803.0,28849.0,1724.0,202.0
NOD_combined_40000.dl,NOD,40000,1427.0,38781.0,2661.0,383.0
NOD_combined_50000.dl,NOD,50000,1816.0,49163.0,3237.0,431.0
NOD_combined_60000.dl,NOD,60000,2222.0,58769.0,4246.0,699.0
NOD_combined_70000.dl,NOD,70000,2691.0,68904.0,4890.0,802.0
NOD_combined_80000.dl,NOD,80000,3188.0,78880.0,5930.0,1058.0
NOD_combined_90000.dl,NOD,90000,3201.0,89236.0,5818.0,797.0
