document,compile_component,locate_component,traverse_component,NOD,DEF,OCC,LOC,gotoDefinition,rename,completion
d:/work24/souffle-lsp-plugin/gen_datasets/DEF/DEF_combined_100.dl,0.0,0.0,0.0,7852.0,79.0,554.0,297.0,0.0,0.0,0.0
souffle-lsp-plugin/gen_datasets/DEF/DEF_combined_100.dl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0
souffle-lsp-plugin/gen_datasets/DEF/DEF_combined_300.dl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
souffle-lsp-plugin/gen_datasets/DEF/DEF_combined_400.dl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
souffle-lsp-plugin/gen_datasets/DEF/DEF_combined_500.dl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
souffle-lsp-plugin/gen_datasets/DEF/DEF_combined_600.dl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d:/work24/souffle-lsp-plugin/gen_datasets/DEF/DEF_combined_700.dl,0.0,0.0,0.0,36679.0,688.0,3070.0,1620.0,0.0,0.0,0.0
souffle-lsp-plugin/gen_datasets/DEF/DEF_combined_700.dl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0
souffle-lsp-plugin/gen_datasets/DEF/DEF_combined_800.dl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
souffle-lsp-plugin/gen_datasets/DEF/DEF_combined_900.dl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
souffle-lsp-plugin/gen_datasets/DEF/DEF_combined_1000.dl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
souffle-lsp-plugin/gen_datasets/DEF/DEF_combined_1100.dl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
souffle-lsp-plugin/gen_datasets/DEF/DEF_combined_1200.dl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
souffle-lsp-plugin/gen_datasets/DEF/DEF_combined_1300.dl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
souffle-lsp-plugin/gen_datasets/DEF/DEF_combined_1400.dl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
souffle-lsp-plugin/gen_datasets/DEF/DEF_combined_1500.dl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
souffle-lsp-plugin/gen_datasets/DEF/DEF_combined_1600.dl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
souffle-lsp-plugin/gen_datasets/DEF/DEF_combined_1700.dl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
souffle-lsp-plugin/gen_datasets/DEF/DEF_combined_1800.dl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
souffle-lsp-plugin/gen_datasets/DEF/DEF_combined_1900.dl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
souffle-lsp-plugin/gen_datasets/DEF/DEF_combined_2000.dl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
souffle-lsp-plugin/gen_datasets/DEF/DEF_combined_2100.dl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
souffle-lsp-plugin/gen_datasets/DEF/DEF_combined_2200.dl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
souffle-lsp-plugin/gen_datasets/DEF/DEF_combined_2300.dl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
souffle-lsp-plugin/gen_datasets/DEF/DEF_combined_2400.dl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
souffle-lsp-plugin/gen_datasets/DEF/DEF_combined_2500.dl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
